426,211,1
484,125,1
492,745,1
612,139,1
414,91,1
484,907,1
796,886,1
284,631,1
300,222,1
210,796,1
581,927,1
878,973,1
881,846,1
129,190,1
653,694,1
88,234,1
909,19,1
261,921,1
961,564,1
120,259,1
60,652,1
927,896,1
33,340,1
161,901,1
64,826,1
217,734,1
496,459,1
262,380,1
841,530,1
542,938,1
609,343,1
518,152,1
480,951,1
657,754,1
235,531,1
79,874,1
828,424,1
565,869,1
331,596,1
385,802,1
441,825,1
310,303,1
564,541,1
168,774,1
339,993,1
655,636,1
947,20,1
763,247,1
660,660,1
176,241,1
500,773,1
214,500,1
164,805,1
407,711,1
564,152,1
978,84,1
403,237,1
80,29,1
174,695,1
113,865,1
2,292,1
178,17,1
309,780,1
974,190,1
334,248,1
345,986,1
426,821,1
525,205,1
133,922,1
8,838,1
425,575,1
185,988,1
947,592,1
117,870,1
867,887,1
730,490,1
987,63,1
637,598,1
941,840,1
288,13,1
730,213,1
604,799,1
919,839,1
903,122,1
301,763,1
942,868,1
822,726,1
287,246,1
833,397,1
698,703,1
887,50,1
227,753,1
315,973,1
243,745,1
755,883,1
338,137,1
498,722,1
227,225,1
163,107,1
871,665,1
980,870,1
191,229,1
587,449,1
665,467,1
861,139,1
211,14,1
878,995,1
354,40,1
965,385,1
498,76,1
92,942,1
318,859,1
743,610,1
526,714,1
64,552,1
816,79,1
75,529,1
873,702,1
520,885,1
703,11,1
793,51,1
376,292,1
520,625,1
326,306,1
647,710,1
352,691,1
422,519,1
367,546,1
144,850,1
433,403,1
679,819,1
693,34,1
879,502,1
176,37,1
797,717,1
568,868,1
997,165,1
251,463,1
159,248,1
914,615,1
928,454,1
978,940,1
510,83,1
539,922,1
507,15,1
410,320,1
132,24,1
700,41,1
516,692,1
901,904,1
676,909,1
484,704,1
39,367,1
948,98,1
303,945,1
402,666,1
222,748,1
959,940,1
353,22,1
417,712,1
82,31,1
730,881,1
616,119,1
639,986,1
964,677,1
357,721,1
994,359,1
222,378,1
764,267,1
31,94,1
112,372,1
242,135,1
586,412,1
332,69,1
86,487,1
791,904,1
218,957,1
90,284,1
508,149,1
